year;month;day;hora;marginalPT;marginalES
2018;05;28;6;51.17;51.17
2018;05;28;7;59.9;59.9
2018;05;28;8;63.47;63.47
2018;05;28;9;64.64;64.64
2018;05;28;10;66.1;66.1
2018;05;28;11;66.19;66.19
2018;05;28;12;66.29;66.29
2018;05;28;13;66.69;66.69
2018;05;28;14;65.9;65.9
2018;05;28;15;64.63;64.63
2018;05;28;16;64.45;64.45
2018;05;28;17;63.65;63.65
2018;05;28;18;63.19;63.19
2018;05;28;19;61.88;61.88
2018;05;28;20;64.21;64.21
2018;05;28;21;65.2;65.2
2018;05;28;22;67.13;67.13
2018;05;28;23;66.29;66.29
2018;05;28;24;65.2;65.2
2018;05;29;1;65.9;65.9
2018;05;29;2;64.97;64.97
2018;05;29;3;64.53;64.53
2018;05;29;4;64.5;64.5
2018;05;29;5;64.93;64.93
2018;05;29;6;65.15;65.15
2018;05;29;7;66.13;66.13
2018;05;29;8;66.26;66.26
2018;05;29;9;66.22;66.22
2018;05;29;10;66.47;66.47
2018;05;29;11;66.26;66.26
2018;05;29;12;66.13;66.13
2018;05;29;13;66.26;66.26
2018;05;29;14;66.13;66.13
2018;05;29;15;65.71;65.71
2018;05;29;16;64.97;64.97
2018;05;29;17;64.5;64.5
2018;05;29;18;63.57;63.57
2018;05;29;19;63.29;63.29
2018;05;29;20;64.79;64.79
2018;05;29;21;66;66
2018;05;29;22;66.5;66.5
2018;05;29;23;66.1;66.1
2018;05;29;24;65.81;65.81
2018;05;30;1;64.97;64.97
2018;05;30;2;64.29;64.29
2018;05;30;3;61.79;61.79
2018;05;30;4;60;60
2018;05;30;5;59.41;59.41
2018;05;30;6;61.79;61.79
2018;05;30;7;63.85;63.85
2018;05;30;8;65.94;65.94
2018;05;30;9;66.87;66.87
2018;05;30;10;67.67;67.67
2018;05;30;11;66.95;66.95
2018;05;30;12;67;67
2018;05;30;13;67.16;67.16
2018;05;30;14;66.79;66.79
2018;05;30;15;66.26;66.26
2018;05;30;16;65.95;65.95
2018;05;30;17;65.69;65.69
2018;05;30;18;64.97;64.97
2018;05;30;19;65.15;65.15
2018;05;30;20;65.79;65.79
2018;05;30;21;66.26;66.26
2018;05;30;22;66.81;66.81
2018;05;30;23;66.1;66.1
2018;05;30;24;65.15;65.15
2018;05;31;1;63.77;63.77
2018;05;31;2;54.95;54.95
2018;05;31;3;55.85;55.85
2018;05;31;4;55.43;55.43
2018;05;31;5;55.43;55.43
2018;05;31;6;57.8;57.8
2018;05;31;7;63.24;63.24
2018;05;31;8;63.82;63.82
2018;05;31;9;64.97;64.97
2018;05;31;10;64.63;64.63
2018;05;31;11;63.99;63.99
2018;05;31;12;64.01;64.01
2018;05;31;13;64.6;64.6
2018;05;31;14;64.67;64.67
2018;05;31;15;63.82;63.82
2018;05;31;16;63.47;63.47
2018;05;31;17;63.29;63.29
2018;05;31;18;63.01;63.01
2018;05;31;19;63.01;63.01
2018;05;31;20;63.82;63.82
2018;05;31;21;65.54;65.54
2018;05;31;22;67;67
2018;05;31;23;66.69;66.69
2018;05;31;24;64.97;64.97
2018;06;01;1;65.61;65.61
2018;06;01;2;64.82;64.82
2018;06;01;3;63.35;63.35
2018;06;01;4;63.04;63.04
2018;06;01;5;62.69;62.69
2018;06;01;6;62.4;62.4
2018;06;01;7;64.97;64.97
2018;06;01;8;64.97;64.97
2018;06;01;9;66.13;66.13
2018;06;01;10;66.26;66.26
2018;06;01;11;65.95;65.95
2018;06;01;12;65.08;65.08
2018;06;01;13;65.08;65.08
2018;06;01;14;64.97;64.97
2018;06;01;15;62.86;62.86
2018;06;01;16;60.52;60.52
2018;06;01;17;60;60
2018;06;01;18;59.85;59.85
2018;06;01;19;59.72;59.72
2018;06;01;20;60.75;60.75
2018;06;01;21;62.81;62.81
2018;06;01;22;64.14;64.14
2018;06;01;23;63.04;63.04
2018;06;01;24;60.16;60.16
2018;06;02;1;60.69;60.69
2018;06;02;2;59.74;59.74
2018;06;02;3;59.3;59.3
2018;06;02;4;58.33;58.33
2018;06;02;5;58;58
2018;06;02;6;57.07;57.07
2018;06;02;7;56.64;56.64
2018;06;02;8;56.64;56.64
2018;06;02;9;57.13;57.13
2018;06;02;10;63.61;63.61
2018;06;02;11;64.97;64.97
2018;06;02;12;64.97;64.97
2018;06;02;13;64.97;64.97
2018;06;02;14;64.97;64.97
2018;06;02;15;62.86;62.86
2018;06;02;16;58.64;58.64
2018;06;02;17;55;55
2018;06;02;18;54.54;54.54
2018;06;02;19;56.13;56.13
2018;06;02;20;61;61
2018;06;02;21;64.29;64.29
2018;06;02;22;66;66
2018;06;02;23;66;66
2018;06;02;24;65.71;65.71
